classifier,size,training,validation
weka.classifiers.trees.RandomForest,6871,1.0638297872340416,0.0
weka.classifiers.trees.RandomForest,7421,1.05263157894737,0.0
weka.classifiers.trees.RandomForest,6563,0.0,9.090909090909093
weka.classifiers.trees.RandomForest,6838,1.0638297872340416,0.0
weka.classifiers.trees.RandomForest,6871,1.05263157894737,20.0
weka.classifiers.trees.RandomForest,6046,0.0,30.0
weka.classifiers.meta.AttributeSelectedClassifier,25951,2.10526315789474,0.0
weka.classifiers.meta.AttributeSelectedClassifier,25830,2.1276595744680833,0.0
weka.classifiers.meta.AttributeSelectedClassifier,25830,2.1276595744680833,0.0
weka.classifiers.meta.AttributeSelectedClassifier,26929,2.10526315789474,0.0
weka.classifiers.meta.AttributeSelectedClassifier,14049,0.0,20.0
weka.classifiers.meta.AttributeSelectedClassifier,26839,2.1276595744680833,0.0
weka.classifiers.meta.AttributeSelectedClassifier,26798,0.0,9.090909090909093
weka.classifiers.meta.AttributeSelectedClassifier,26839,2.1276595744680833,0.0
weka.classifiers.meta.AttributeSelectedClassifier,26968,3.1578947368421098,0.0
weka.classifiers.meta.AttributeSelectedClassifier,26929,2.10526315789474,0.0
weka.classifiers.trees.J48,3448,35.78947368421052,10.0
weka.classifiers.lazy.IBk,9928,0.0,0.0
weka.classifiers.lazy.IBk,9928,0.0,0.0
weka.classifiers.lazy.IBk,9859,0.0,0.0
weka.classifiers.lazy.IBk,9859,0.0,0.0
weka.classifiers.lazy.IBk,9859,0.0,9.090909090909093
weka.classifiers.lazy.IBk,9928,0.0,20.0
weka.classifiers.lazy.IBk,9928,0.0,0.0
weka.classifiers.lazy.IBk,9859,0.0,0.0
weka.classifiers.lazy.IBk,9928,0.0,0.0
weka.classifiers.lazy.IBk,9859,0.0,0.0
weka.classifiers.rules.OneR,1300,2.1276595744680833,9.090909090909093
weka.classifiers.lazy.IBk,9771,0.0,9.090909090909093
weka.classifiers.lazy.IBk,9840,0.0,0.0
weka.classifiers.lazy.IBk,9840,0.0,0.0
weka.classifiers.lazy.IBk,9840,0.0,0.0
weka.classifiers.lazy.IBk,9840,0.0,0.0
weka.classifiers.lazy.IBk,9840,0.0,10.0
weka.classifiers.lazy.IBk,9771,0.0,0.0
weka.classifiers.lazy.IBk,9771,0.0,0.0
weka.classifiers.lazy.IBk,9771,0.0,0.0
weka.classifiers.lazy.IBk,9771,0.0,0.0
weka.classifiers.rules.PART,4924,3.1578947368421098,0.0
weka.classifiers.rules.PART,4924,3.1578947368421098,0.0
weka.classifiers.rules.PART,4924,2.1276595744680833,9.090909090909093
weka.classifiers.rules.PART,4924,3.191489361702125,9.090909090909093
weka.classifiers.rules.PART,4924,3.191489361702125,0.0
weka.classifiers.rules.PART,4924,3.1578947368421098,0.0
weka.classifiers.rules.PART,4924,2.1276595744680833,9.090909090909093
weka.classifiers.lazy.IBk,8764,0.0,10.0
weka.classifiers.functions.Logistic,7407,2.10526315789474,0.0
