classifier,size,train,valid
weka.classifiers.rules.PART,1896,2.10526315789474,20.0
weka.classifiers.rules.PART,1948,2.1276595744680833,9.090909090909093
weka.classifiers.lazy.KStar,4703,0.0,0.0
weka.classifiers.lazy.KStar,4727,0.0,0.0
weka.classifiers.lazy.KStar,4730,0.0,0.0
weka.classifiers.lazy.KStar,4727,0.0,20.0
weka.classifiers.lazy.KStar,4714,0.0,9.090909090909093
weka.classifiers.lazy.KStar,4750,0.0,0.0
weka.classifiers.lazy.KStar,4738,0.0,10.0
weka.classifiers.trees.REPTree,1390,2.10526315789474,20.0
weka.classifiers.meta.Stacking,6839,63.829787234042556,90.9090909090909
weka.classifiers.trees.RandomForest,2033,2.10526315789474,0.0
weka.classifiers.trees.RandomForest,2007,2.10526315789474,20.0
weka.classifiers.trees.RandomForest,1946,0.0,30.0
weka.classifiers.functions.Logistic,2139,3.191489361702125,0.0
weka.classifiers.functions.Logistic,2141,3.191489361702125,0.0
weka.classifiers.functions.Logistic,2140,1.05263157894737,20.0
weka.classifiers.functions.Logistic,2137,3.1578947368421098,0.0
weka.classifiers.functions.Logistic,2138,3.191489361702125,0.0
weka.classifiers.functions.Logistic,2138,3.1578947368421098,0.0
weka.classifiers.functions.Logistic,2139,3.1578947368421098,0.0
weka.classifiers.functions.Logistic,2140,3.191489361702125,0.0
weka.classifiers.functions.Logistic,2141,2.1276595744680833,9.090909090909093
weka.classifiers.functions.Logistic,2135,3.1578947368421098,0.0
weka.classifiers.trees.RandomForest,2444,1.0638297872340416,0.0
weka.classifiers.trees.RandomForest,2490,1.0638297872340416,0.0
weka.classifiers.trees.RandomForest,2566,2.10526315789474,0.0
weka.classifiers.trees.RandomForest,2275,0.0,30.0
weka.classifiers.trees.RandomForest,2515,2.10526315789474,0.0
weka.classifiers.trees.RandomForest,2511,1.0638297872340416,0.0
weka.classifiers.trees.RandomForest,2361,0.0,9.090909090909093
weka.classifiers.functions.SimpleLogistic,2313,2.1276595744680833,0.0
weka.classifiers.functions.SimpleLogistic,2275,3.191489361702125,0.0
weka.classifiers.functions.SimpleLogistic,2279,4.255319148936167,9.090909090909093
weka.classifiers.meta.AdaBoostM1,8454,2.10526315789474,0.0
weka.classifiers.meta.AdaBoostM1,15278,3.191489361702125,0.0
weka.classifiers.meta.AdaBoostM1,9826,3.1578947368421098,0.0
weka.classifiers.meta.AdaBoostM1,4959,1.05263157894737,20.0
weka.classifiers.meta.AdaBoostM1,12569,3.1578947368421098,0.0
weka.classifiers.meta.AdaBoostM1,9821,2.1276595744680833,9.090909090909093
weka.classifiers.meta.AdaBoostM1,13931,2.10526315789474,0.0
weka.classifiers.meta.AdaBoostM1,7071,3.191489361702125,0.0
weka.classifiers.meta.AdaBoostM1,11219,3.191489361702125,0.0
weka.classifiers.meta.AdaBoostM1,11214,3.191489361702125,0.0
weka.classifiers.lazy.IBk,2443,1.0638297872340416,9.090909090909093
weka.classifiers.lazy.IBk,2430,1.0638297872340416,0.0
weka.classifiers.lazy.IBk,2454,1.0638297872340416,0.0
weka.classifiers.lazy.IBk,2453,1.05263157894737,0.0
weka.classifiers.lazy.IBk,2456,0.0,10.0
weka.classifiers.lazy.IBk,2460,1.05263157894737,0.0
weka.classifiers.lazy.IBk,2444,1.05263157894737,20.0
weka.classifiers.functions.SMO,7518,1.05263157894737,0.0
weka.classifiers.functions.SMO,7541,2.10526315789474,0.0
weka.classifiers.functions.SMO,7592,2.1276595744680833,0.0
weka.classifiers.functions.SMO,7595,0.0,0.0
weka.classifiers.functions.SMO,7434,1.0638297872340416,0.0
weka.classifiers.functions.SMO,7568,0.0,9.090909090909093
weka.classifiers.functions.SMO,7635,0.0,20.0
weka.classifiers.functions.SMO,7524,1.0638297872340416,0.0
weka.classifiers.functions.SMO,7596,0.0,0.0
weka.classifiers.functions.SMO,7583,2.1276595744680833,0.0
weka.classifiers.rules.ZeroR,658,64.21052631578948,90.0
weka.classifiers.functions.SMO,5234,62.10526315789474,70.0
weka.classifiers.trees.RandomForest,2124,1.05263157894737,20.0
weka.classifiers.functions.SMO,8095,0.0,10.0
weka.classifiers.functions.SMO,8012,2.1276595744680833,9.090909090909093
weka.classifiers.functions.SMO,7994,3.191489361702125,0.0
weka.classifiers.functions.SMO,7961,2.1276595744680833,0.0
